Name,Status,Price,Stars,Ratings,Units,"Unit Price","regex method"
"Lot of 4 INTEL SSD DC Series S3500 160GB SATA 2.5"" 6Gb/s SSDSC2BB160G4T","Open box",$440.00,0,0,4,110,2
"Lot of 12 - Intel - 32GB - 2.5"" SATA SSD - SSDSA2SH032G1GN",Pre-Owned,$165.00,0,0,12,13.75,2
"Lot of 22 SanDisk U100 2.5"" 8GB SATA SSD SDSA5GK-008G-1001",Pre-Owned,$74.98,Lot,0,22,3.40818181818182,2
"MICRON 240GB 2.5 SSD M500 MTFDDAK240MAV, MTFDDAK240MAV-1AE12ABYY (LOT OF 10)",Pre-Owned,$699.00,0,0,10,69.9,2
"Lot of 20 (twenty) Micron M500 960GB SSD ( Almost 1TB ) 2.5"" MTFDDAK960MAV SATA3",Pre-Owned,"$1,699.99",0,0,20,84.9995,2
"960GB SATA 6Gb/s Micron SSD M500 2.5"" MTFDDAK960MAV-1AE12ABYY LOT OF 10",Pre-Owned,$750.00,0,0,10,75,2
"LOT 2 160GB INTEL SSDSA2CW160G3 320 SERIES 3Gb/S SATA SSD 5V 1A 2.5"" INCH SSD",Pre-Owned,$49.99,5.0,0,2,24.995,2
"LOT OF 4: ES1A 58B9 00E8673 00E8704 IBM 387GB 2.5"" 6Gbps SAS SFF-2 SSD",Refurbished,"$2,199.00",0,0,4,549.75,2
"LOT OF 3: SAMSUNG MZ7LN120 MZ-75E120 850 EVO 120GB SATA III 6Gb/s 2.5"" SSD",Refurbished,$75.00,0,0,3,25,2
"256GB SSD 2.5"" 7MM SATA III 6GB/S Samsung, Micron, Lite-On, SanDisk Lot of 10",Pre-Owned,$489.99,0,0,10,48.999,2
"Mix Lot SSD 240/256GB (2) Drives",Pre-Owned,$85.00,0,0,,-1,
"Lot of 20 SanDisk 16GB SATA SSD - SDSA5AK-016G-1014, Clean and Tested",Refurbished,$119.99,0,0,20,5.9995,2
"Lot of 23 - 512GB NVMe PCI Express Gen3 x4 M.2 2280 SSD (WD, Samsung, Toshiba)","Open box","$1,550.00",0,0,23,67.3913043478261,2
"LOT OF 10: SAMSUNG 256GB PM981 NVME M.2 PCIE SSD HP L11634-001 MZ-VLB2560","Open box",$375.00,0,0,10,37.5,2
"[100 UNITS LOTS] M.2 256GB SSDs SAMSUNG HYNIX SANDISK TOSHIBA (4 Lots Available)",Pre-Owned,"$2,250.00",[10,0,,-1,
"LOT of 9 Working And 2 Not-Working Apple Internal SSDs with Fresh OS Installed",Pre-Owned,$750.00,0,0,9,83.3333333333333,2
"Lot of 5 HGST Hitachi HUSSL4020BSS600 200GB 2.5"" SAS SSD 0B27405",Pre-Owned,$285.00,0,0,5,57,2
"Lot of 5 ( five ) Samsung 128GB mSATA PM851 SSD Internal 1.8"" SATA III 6Gb/s",Pre-Owned,$99.99,0,0,5,19.998,2
"LOT OF 10 - SanDisk 128GB x110 MLC 6Gbps Half-Slim SATA SSD (DX110128A5xnNMRI)",Pre-Owned,$349.99,0,0,10,34.999,2
"Seagate BarraCuda 250GB SOLID STATE SSD Drive | Lot of 4 | Excellent condition",Pre-Owned,$190.00,0,0,4,47.5,2
"LOT 100X Toshiba 128GB SSD 2.5"" SATA 6Gb/s THNSNJ128GCSY Solid State Drive",Refurbished,"$2,500.00",0,0,100,25,2
"Lot 4 Toshiba 200GB 2.5"" SAS 12Gb/s SSD PX05SRB200 SDFA401HCA01",Pre-Owned,$695.00,0,0,4,173.75,2
"LOT of 2 DELL120GB MLC SATA III 2.5 ENTERPRISE 6GB/S  SOLID STATE DRIVE MVTNM",Pre-Owned,$99.00,0,0,2,49.5,2
"SANDISK SDLB6HM-800G-31 800GB SSD LIGHTNING LB806MC 2.5"" LOT OF 10",Pre-Owned,"$1,400.00",0,0,10,140,2
"Lot of 2x Samsung Dell MZ-7PC128D NMY6F 2.5"" 128GB SATA SSD",Pre-Owned,$30.40,Pre,0,2,15.2,2
"LOT OF 10 128GB Samsung Lite on Intel OCZ  2.5"" SATA SSD",Refurbished,$219.99,LOT,0,10,21.999,2
"Lot of 8 Intel SSDSA2SH032G1GN 32GB 3GB/s 2.5"" SATA SSD Drive",Pre-Owned,$89.99,4.5,0,8,11.24875,2
"Lot of -15 Samsung 128GB SATA 2.5"" SSD MZ-7TE1280",Pre-Owned,$340.00,0,0,,-1,
"Lot of 4 Intel 320 Series 120GB 3Gb/s SATA II 2.5"" SSD (SSDSA2CW120G3)",Pre-Owned,$89.00,0,0,4,22.25,2
"lot of 9; 32 GB mSATA SSD Lite-ON It Corp- HP- PCI-e Card 687100-001 LMT-32L3M",Pre-Owned,$179.00,0,0,9,19.8888888888889,2
"LOT OF 3 Transcend Internal Solid State Drives 32GB MLC SATA III 6Gb/s 2.5""",Pre-Owned,$59.99,LOT,0,3,19.9966666666667,2
"128gb Sata Laptop SSD Samsung Apple 2.5"" 5PC LOT ALL 5 INCLUDED",Pre-Owned,$100.00,0,0,5,20,1
